method,d1,d2,d3,method_id,trainvall_acc,test acc,auroc,auprc
odin/0,NIHCC,CIFAR,CIFAR100,ODIN/NIHDenseBinary,0.7669447340980188,0.6618499755859375,0.701294635,0.6253349070410318
odin/0,NIHCC,CIFAR,STL10,ODIN/NIHDenseBinary,0.7669447340980188,0.3141250014305115,0.2908295390625,0.3704431312159596
odin/0,NIHCC,CIFAR,TinyImagenet,ODIN/NIHDenseBinary,0.7669447340980188,0.2531000077724457,0.1758535,0.33629527392377045
odin/0,NIHCC,CIFAR,MURA,ODIN/NIHDenseBinary,0.7669447340980188,0.675633430480957,0.8501633774782407,0.8580159890635215
Maha,NIHCC,CIFAR,UniformNoise,MAHA/NIHDenseBinary,0.9995071463775259,0.9993791580200195,1.0,1.0
Maha,NIHCC,CIFAR,NormalNoise,MAHA/NIHDenseBinary,0.9995071463775259,0.9993791580200195,1.0,1.0
Maha,NIHCC,CIFAR,MNIST,MAHA/NIHDenseBinary,0.9995071463775259,0.9994499683380127,0.9998999999999999,0.9991212294219154
Maha,NIHCC,CIFAR,FashionMNIST,MAHA/NIHDenseBinary,0.9995071463775259,0.9994499683380127,0.99986006,0.999400347037575
Maha,NIHCC,CIFAR,NotMNIST,MAHA/NIHDenseBinary,0.9995071463775259,0.9994659423828125,0.9998959805193202,0.9996119141911917
Maha,NIHCC,CIFAR,CIFAR100,MAHA/NIHDenseBinary,0.9995071463775259,0.9979499578475952,0.9998347399999999,0.9993166365100971
Maha,NIHCC,CIFAR,STL10,MAHA/NIHDenseBinary,0.9995071463775259,0.9962500333786011,0.9995559062500001,0.9993927599746975
Maha,NIHCC,CIFAR,TinyImagenet,MAHA/NIHDenseBinary,0.9995071463775259,0.9969499707221985,0.99958978,0.9996735030779972
Maha,NIHCC,CIFAR,MURA,MAHA/NIHDenseBinary,0.9995071463775259,0.9773224592208862,0.9994056243493055,0.9974656574965349
reconst_thresh/0,NIHCC,CIFAR,UniformNoise,REThreshold,0.6653426017874876,0.9415355920791626,1.0,1.0
reconst_thresh/0,NIHCC,CIFAR,NormalNoise,REThreshold,0.6653426017874876,0.9415355920791626,1.0,1.0
reconst_thresh/0,NIHCC,CIFAR,MNIST,REThreshold,0.6653426017874876,0.5789999961853027,0.62021389,0.6606626380530691
reconst_thresh/0,NIHCC,CIFAR,FashionMNIST,REThreshold,0.6653426017874876,0.47049999237060547,0.230191965,0.38288718347310546
reconst_thresh/0,NIHCC,CIFAR,NotMNIST,REThreshold,0.6653426017874876,0.5202947854995728,0.3343255192953227,0.4953545093233154
reconst_thresh/0,NIHCC,CIFAR,CIFAR100,REThreshold,0.6653426017874876,0.6651999950408936,0.6700062550000001,0.7412668551952182
reconst_thresh/0,NIHCC,CIFAR,STL10,REThreshold,0.6653426017874876,0.6707500219345093,0.677037359375,0.7508149160553581
reconst_thresh/0,NIHCC,CIFAR,TinyImagenet,REThreshold,0.6653426017874876,0.6807500123977661,0.702993515,0.7667189422190965
reconst_thresh/0,NIHCC,CIFAR,MURA,REThreshold,0.6653426017874876,0.4732561707496643,0.20163785469428103,0.37964405703484894
reconst_thresh/1,NIHCC,CIFAR,UniformNoise,REThreshold,0.9528112449799196,0.976614236831665,1.0,1.0
reconst_thresh/1,NIHCC,CIFAR,NormalNoise,REThreshold,0.9528112449799196,0.976614236831665,1.0,1.0
reconst_thresh/1,NIHCC,CIFAR,MNIST,REThreshold,0.9528112449799196,0.9773499965667725,0.9999931,0.9999930322003102
reconst_thresh/1,NIHCC,CIFAR,FashionMNIST,REThreshold,0.9528112449799196,0.9769999980926514,0.99938041,0.9993391473627322
reconst_thresh/1,NIHCC,CIFAR,NotMNIST,REThreshold,0.9528112449799196,0.9691305160522461,0.9957183382020277,0.9966121467907652
reconst_thresh/1,NIHCC,CIFAR,CIFAR100,REThreshold,0.9528112449799196,0.9508999586105347,0.9854247700000001,0.9882436486438649
reconst_thresh/1,NIHCC,CIFAR,STL10,REThreshold,0.9528112449799196,0.9748125672340393,0.9982218515625001,0.9984287705725218
reconst_thresh/1,NIHCC,CIFAR,TinyImagenet,REThreshold,0.9528112449799196,0.974299967288971,0.9984730750000002,0.9987677622661149
reconst_thresh/1,NIHCC,CIFAR,MURA,REThreshold,0.9528112449799196,0.7821394801139832,0.9287947265231158,0.9243877005079546
reconst_thresh/2,NIHCC,CIFAR,UniformNoise,REThreshold,0.8968215158924205,0.9461402893066406,1.0,1.0
reconst_thresh/2,NIHCC,CIFAR,NormalNoise,REThreshold,0.8968215158924205,0.9461402893066406,0.9997188704802558,0.9986880749180261
reconst_thresh/2,NIHCC,CIFAR,MNIST,REThreshold,0.8968215158924205,0.9462999701499939,0.99981269,0.9997960539279342
reconst_thresh/2,NIHCC,CIFAR,FashionMNIST,REThreshold,0.8968215158924205,0.9462999701499939,0.9980146250000002,0.9977325985706852
reconst_thresh/2,NIHCC,CIFAR,NotMNIST,REThreshold,0.8968215158924205,0.9462721347808838,0.9999809577149003,0.9999809712730959
reconst_thresh/2,NIHCC,CIFAR,CIFAR100,REThreshold,0.8968215158924205,0.8998000025749207,0.96496259,0.9645741762989234
reconst_thresh/2,NIHCC,CIFAR,STL10,REThreshold,0.8968215158924205,0.9259375333786011,0.9816945,0.9808626280537404
reconst_thresh/2,NIHCC,CIFAR,TinyImagenet,REThreshold,0.8968215158924205,0.9348999857902527,0.9884335949999999,0.988587048656482
reconst_thresh/2,NIHCC,CIFAR,MURA,REThreshold,0.8968215158924205,0.9360337853431702,0.9778214718619631,0.9598958150288347
reconst_thresh/3,NIHCC,CIFAR,UniformNoise,REThreshold,0.9246257098606092,0.9587127566337585,1.0,1.0
reconst_thresh/3,NIHCC,CIFAR,NormalNoise,REThreshold,0.9246257098606092,0.9587127566337585,1.0,1.0
reconst_thresh/3,NIHCC,CIFAR,MNIST,REThreshold,0.9246257098606092,0.958899974822998,0.99988237,0.9998818477971706
reconst_thresh/3,NIHCC,CIFAR,FashionMNIST,REThreshold,0.9246257098606092,0.9542499780654907,0.9931872900000001,0.9926485949071455
reconst_thresh/3,NIHCC,CIFAR,NotMNIST,REThreshold,0.9246257098606092,0.9508652091026306,0.9907382957490272,0.994015087793195
reconst_thresh/3,NIHCC,CIFAR,CIFAR100,REThreshold,0.9246257098606092,0.9072499871253967,0.966608575,0.9703147442804013
reconst_thresh/3,NIHCC,CIFAR,STL10,REThreshold,0.9246257098606092,0.9419375658035278,0.9882530624999999,0.9893403187813089
reconst_thresh/3,NIHCC,CIFAR,TinyImagenet,REThreshold,0.9246257098606092,0.9490000009536743,0.99249437,0.9935510021912635
reconst_thresh/3,NIHCC,CIFAR,MURA,REThreshold,0.9246257098606092,0.6456052660942078,0.8353070192388882,0.80816555213388
reconst_thresh/4,NIHCC,CIFAR,UniformNoise,REThreshold,0.5621181262729125,0.25988203287124634,0.3384444104292472,0.38724647103523163
reconst_thresh/4,NIHCC,CIFAR,NormalNoise,REThreshold,0.5621181262729125,0.737272322177887,0.5868075086246388,0.4905419592733145
reconst_thresh/4,NIHCC,CIFAR,MNIST,REThreshold,0.5621181262729125,0.7594000101089478,0.99964368,0.9995130260444851
reconst_thresh/4,NIHCC,CIFAR,FashionMNIST,REThreshold,0.5621181262729125,0.7590999603271484,0.9877496800000002,0.9840230129473472
reconst_thresh/4,NIHCC,CIFAR,NotMNIST,REThreshold,0.5621181262729125,0.7596133351325989,0.9671143672569266,0.9436783548540693
reconst_thresh/4,NIHCC,CIFAR,CIFAR100,REThreshold,0.5621181262729125,0.5745499730110168,0.5751651999999999,0.5217605091145013
reconst_thresh/4,NIHCC,CIFAR,STL10,REThreshold,0.5621181262729125,0.5886250138282776,0.612583828125,0.5789614118073598
reconst_thresh/4,NIHCC,CIFAR,TinyImagenet,REThreshold,0.5621181262729125,0.5345500111579895,0.5286164149999999,0.4957279741262125
reconst_thresh/4,NIHCC,CIFAR,MURA,REThreshold,0.5621181262729125,0.6720362901687622,0.7649334313947165,0.7592588205437084
reconst_thresh/5,NIHCC,CIFAR,UniformNoise,REThreshold,0.5279057859703021,0.5,1.0,1.0
reconst_thresh/5,NIHCC,CIFAR,NormalNoise,REThreshold,0.5279057859703021,0.5,1.0,1.0
reconst_thresh/5,NIHCC,CIFAR,MNIST,REThreshold,0.5279057859703021,0.5,0.999555065,0.9995417993556517
reconst_thresh/5,NIHCC,CIFAR,FashionMNIST,REThreshold,0.5279057859703021,0.5,0.99952591,0.999400675640656
reconst_thresh/5,NIHCC,CIFAR,NotMNIST,REThreshold,0.5279057859703021,0.5,0.9996941140422261,0.9996982378465579
reconst_thresh/5,NIHCC,CIFAR,CIFAR100,REThreshold,0.5279057859703021,0.5,0.969378485,0.974957001930559
reconst_thresh/5,NIHCC,CIFAR,STL10,REThreshold,0.5279057859703021,0.5,0.999031953125,0.9991241829988429
reconst_thresh/5,NIHCC,CIFAR,TinyImagenet,REThreshold,0.5279057859703021,0.5,0.9993576350000002,0.9994903000943594
reconst_thresh/5,NIHCC,CIFAR,MURA,REThreshold,0.5279057859703021,0.5,0.966992485624181,0.9638323441335162
reconst_thresh/6,NIHCC,CIFAR,UniformNoise,REThreshold,0.9449173760640961,0.9667580723762512,1.0,1.0
reconst_thresh/6,NIHCC,CIFAR,NormalNoise,REThreshold,0.9449173760640961,0.9667580723762512,1.0,1.0
reconst_thresh/6,NIHCC,CIFAR,MNIST,REThreshold,0.9449173760640961,0.9679999947547913,0.99999924,0.999999239933496
reconst_thresh/6,NIHCC,CIFAR,FashionMNIST,REThreshold,0.9449173760640961,0.9667999744415283,0.9984288499999999,0.9983372598921545
reconst_thresh/6,NIHCC,CIFAR,NotMNIST,REThreshold,0.9449173760640961,0.9584490656852722,0.9843096990241907,0.9917156481714696
reconst_thresh/6,NIHCC,CIFAR,CIFAR100,REThreshold,0.9449173760640961,0.9308499693870544,0.9748441799999998,0.9801365052672585
reconst_thresh/6,NIHCC,CIFAR,STL10,REThreshold,0.9449173760640961,0.9624375700950623,0.995694578125,0.9962686211809313
reconst_thresh/6,NIHCC,CIFAR,TinyImagenet,REThreshold,0.9449173760640961,0.962399959564209,0.9964100850000001,0.9971660873528857
reconst_thresh/6,NIHCC,CIFAR,MURA,REThreshold,0.9449173760640961,0.6914294362068176,0.8241433236840645,0.8323464640363671
reconst_thresh/7,NIHCC,CIFAR,UniformNoise,REThreshold,0.9349593495934959,0.9702762961387634,1.0,1.0
reconst_thresh/7,NIHCC,CIFAR,NormalNoise,REThreshold,0.9349593495934959,0.9702762961387634,1.0,1.0
reconst_thresh/7,NIHCC,CIFAR,MNIST,REThreshold,0.9349593495934959,0.9706499576568604,0.99998576,0.9999855988471222
reconst_thresh/7,NIHCC,CIFAR,FashionMNIST,REThreshold,0.9349593495934959,0.9697499871253967,0.998665465,0.9985738528782457
reconst_thresh/7,NIHCC,CIFAR,NotMNIST,REThreshold,0.9349593495934959,0.962454617023468,0.9852207451514281,0.992294182908485
reconst_thresh/7,NIHCC,CIFAR,CIFAR100,REThreshold,0.9349593495934959,0.9301499724388123,0.9741875449999999,0.9792826865420308
reconst_thresh/7,NIHCC,CIFAR,STL10,REThreshold,0.9349593495934959,0.9598750472068787,0.993896,0.9946677319610743
reconst_thresh/7,NIHCC,CIFAR,TinyImagenet,REThreshold,0.9349593495934959,0.9639999866485596,0.995364095,0.9963296984891068
reconst_thresh/7,NIHCC,CIFAR,MURA,REThreshold,0.9349593495934959,0.7217704057693481,0.8963753260627412,0.8835570526750293
reconst_thresh/8,NIHCC,CIFAR,UniformNoise,REThreshold,0.6170004885197851,0.7938741445541382,0.899340958706324,0.7602057017471047
reconst_thresh/8,NIHCC,CIFAR,NormalNoise,REThreshold,0.6170004885197851,0.7938741445541382,0.9040776680166336,0.7672506906447694
reconst_thresh/8,NIHCC,CIFAR,MNIST,REThreshold,0.6170004885197851,0.7928999662399292,0.99999348,0.999993420516027
reconst_thresh/8,NIHCC,CIFAR,FashionMNIST,REThreshold,0.6170004885197851,0.7918999791145325,0.9940827100000001,0.9935226661948308
reconst_thresh/8,NIHCC,CIFAR,NotMNIST,REThreshold,0.6170004885197851,0.7862102389335632,0.9800595785067205,0.9838842557369664
reconst_thresh/8,NIHCC,CIFAR,CIFAR100,REThreshold,0.6170004885197851,0.6188499927520752,0.64549678,0.5909266473344754
reconst_thresh/8,NIHCC,CIFAR,STL10,REThreshold,0.6170004885197851,0.6290000081062317,0.6649870078125,0.6404272206867127
reconst_thresh/8,NIHCC,CIFAR,TinyImagenet,REThreshold,0.6170004885197851,0.6007499694824219,0.6192230350000001,0.5785063894090352
reconst_thresh/8,NIHCC,CIFAR,MURA,REThreshold,0.6170004885197851,0.655771017074585,0.7386311103162186,0.7832128515993662
reconst_thresh/9,NIHCC,CIFAR,UniformNoise,REThreshold,0.8029268292682927,0.9994567632675171,1.0,1.0
reconst_thresh/9,NIHCC,CIFAR,NormalNoise,REThreshold,0.8029268292682927,0.9994567632675171,1.0,1.0
reconst_thresh/9,NIHCC,CIFAR,MNIST,REThreshold,0.8029268292682927,0.9707499742507935,0.999745865,0.9997383289360847
reconst_thresh/9,NIHCC,CIFAR,FashionMNIST,REThreshold,0.8029268292682927,0.953249990940094,0.999203145,0.9991225644425312
reconst_thresh/9,NIHCC,CIFAR,NotMNIST,REThreshold,0.8029268292682927,0.9942854046821594,0.9998599268219474,0.9998708221465765
reconst_thresh/9,NIHCC,CIFAR,CIFAR100,REThreshold,0.8029268292682927,0.7872999906539917,0.9691126999999999,0.9757846956028422
reconst_thresh/9,NIHCC,CIFAR,STL10,REThreshold,0.8029268292682927,0.9646875262260437,0.9981961171875,0.9984800735234722
reconst_thresh/9,NIHCC,CIFAR,TinyImagenet,REThreshold,0.8029268292682927,0.984499990940094,0.9987126599999999,0.9989938146600491
reconst_thresh/9,NIHCC,CIFAR,MURA,REThreshold,0.8029268292682927,0.5445730090141296,0.8597389893500603,0.8572775865306499
ALI_reconst/0,NIHCC,CIFAR,UniformNoise,ALIReconstruction,0.9623128549303046,0.9807015657424927,0.9987533433485134,0.9924166380541699
ALI_reconst/0,NIHCC,CIFAR,NormalNoise,ALIReconstruction,0.9623128549303046,0.9807015657424927,0.9988038330024587,0.9924911443771375
ALI_reconst/0,NIHCC,CIFAR,MNIST,ALIReconstruction,0.9623128549303046,0.9807999730110168,0.99978857,0.9997241434926344
ALI_reconst/0,NIHCC,CIFAR,FashionMNIST,ALIReconstruction,0.9623128549303046,0.8858000040054321,0.94739461,0.9575835451548995
ALI_reconst/0,NIHCC,CIFAR,NotMNIST,ALIReconstruction,0.9623128549303046,0.8998077511787415,0.9336575629407422,0.9547125505504652
ALI_reconst/0,NIHCC,CIFAR,CIFAR100,ALIReconstruction,0.9623128549303046,0.953499972820282,0.9835222950000001,0.9850239562284024
ALI_reconst/0,NIHCC,CIFAR,STL10,ALIReconstruction,0.9623128549303046,0.9660625457763672,0.9930235859375001,0.9916102291918973
ALI_reconst/0,NIHCC,CIFAR,TinyImagenet,ALIReconstruction,0.9623128549303046,0.9662500023841858,0.992176045,0.9925736943686442
ALI_reconst/0,NIHCC,CIFAR,MURA,ALIReconstruction,0.9623128549303046,0.969346284866333,0.9943299987310202,0.9931111927482211
knn/1,NIHCC,CIFAR,UniformNoise,KNNSVM/1,0.8922369765066395,0.9597733616828918,1.0,1.0
knn/1,NIHCC,CIFAR,NormalNoise,KNNSVM/1,0.8922369765066395,0.9597733616828918,1.0,1.0
knn/1,NIHCC,CIFAR,MNIST,KNNSVM/1,0.8922369765066395,0.9596999883651733,0.999994275,0.9999941364937481
knn/1,NIHCC,CIFAR,FashionMNIST,KNNSVM/1,0.8922369765066395,0.9594999551773071,0.99901036,0.9989737775891259
knn/1,NIHCC,CIFAR,NotMNIST,KNNSVM/1,0.8922369765066395,0.959356963634491,0.9992580012167894,0.9992731822715327
knn/1,NIHCC,CIFAR,CIFAR100,KNNSVM/1,0.8922369765066395,0.8865999579429626,0.9484870750000001,0.9565038776963143
knn/1,NIHCC,CIFAR,STL10,KNNSVM/1,0.8922369765066395,0.9236250519752502,0.9761701328124999,0.9795236243353672
knn/1,NIHCC,CIFAR,TinyImagenet,KNNSVM/1,0.8922369765066395,0.9405499696731567,0.9864209650000001,0.9887467462404607
knn/1,NIHCC,CIFAR,MURA,KNNSVM/1,0.8922369765066395,0.7128558158874512,0.8132305867373121,0.8271149165796255
knn/2,NIHCC,CIFAR,UniformNoise,KNNSVM/2,0.8854775828460039,0.9581436514854431,1.0,1.0
knn/2,NIHCC,CIFAR,NormalNoise,KNNSVM/2,0.8854775828460039,0.9581436514854431,1.0,1.0
knn/2,NIHCC,CIFAR,MNIST,KNNSVM/2,0.8854775828460039,0.9583500027656555,0.99999579,0.9999957684467632
knn/2,NIHCC,CIFAR,FashionMNIST,KNNSVM/2,0.8854775828460039,0.9580999612808228,0.998940345,0.9989115667997626
knn/2,NIHCC,CIFAR,NotMNIST,KNNSVM/2,0.8854775828460039,0.9580217599868774,0.9991396857605377,0.9991961803605812
knn/2,NIHCC,CIFAR,CIFAR100,KNNSVM/2,0.8854775828460039,0.8858499526977539,0.947366995,0.9563642096877762
knn/2,NIHCC,CIFAR,STL10,KNNSVM/2,0.8854775828460039,0.9207500219345093,0.9749131640625001,0.9789125310885254
knn/2,NIHCC,CIFAR,TinyImagenet,KNNSVM/2,0.8854775828460039,0.9390499591827393,0.9858347049999999,0.9885045468661393
knn/2,NIHCC,CIFAR,MURA,KNNSVM/2,0.8854775828460039,0.7219268083572388,0.8250965261164747,0.8359655666638321
knn/4,NIHCC,CIFAR,UniformNoise,KNNSVM/4,0.8761950286806883,0.9308775067329407,1.0,1.0
knn/4,NIHCC,CIFAR,NormalNoise,KNNSVM/4,0.8761950286806883,0.9308775067329407,1.0,1.0
knn/4,NIHCC,CIFAR,MNIST,KNNSVM/4,0.8761950286806883,0.9304499626159668,0.99999585,0.9999958262178792
knn/4,NIHCC,CIFAR,FashionMNIST,KNNSVM/4,0.8761950286806883,0.9303999543190002,0.99896381,0.9989354851943217
knn/4,NIHCC,CIFAR,NotMNIST,KNNSVM/4,0.8761950286806883,0.9305703639984131,0.9991737085850836,0.9992302305668166
knn/4,NIHCC,CIFAR,CIFAR100,KNNSVM/4,0.8761950286806883,0.8787499666213989,0.94779489,0.9567985911425471
knn/4,NIHCC,CIFAR,STL10,KNNSVM/4,0.8761950286806883,0.9053125381469727,0.975224,0.9792085536544595
knn/4,NIHCC,CIFAR,TinyImagenet,KNNSVM/4,0.8761950286806883,0.9173499941825867,0.9859970949999999,0.98866134761098
knn/4,NIHCC,CIFAR,MURA,KNNSVM/4,0.8761950286806883,0.7309978008270264,0.8268629224946871,0.837091626550076
knn/8,NIHCC,CIFAR,UniformNoise,KNNSVM/8,0.8978658536585366,0.953771710395813,1.0,1.0
